2026-01-18 02:24:26,719 | INFO  | MainThread | solace_ai_connector.components.component_base | [<unnamed>] [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Multi-session request/response is enabled.
2026-01-18 02:24:26,719 | INFO  | MainThread | solace_ai_connector.components.component_base | [<unnamed>] [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-18 02:24:26,719 | INFO  | MainThread | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing SamComponentBase...
2026-01-18 02:24:26,719 | INFO  | MainThread | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initialized SamComponentBase
2026-01-18 02:24:26,719 | INFO  | MainThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing agent: OrchestratorAgent (A2A ADK Host Component)...
2026-01-18 02:24:26,719 | INFO  | MainThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Default session behavior set to: PERSISTENT
2026-01-18 02:24:26,719 | INFO  | MainThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Artifact Handling Mode: reference
2026-01-18 02:24:26,719 | WARNING | MainThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Artifact handling mode 'reference' selected, but this component does not currently host an endpoint to serve artifacts. Clients may not be able to retrieve referenced artifacts.
2026-01-18 02:24:26,719 | INFO  | MainThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing synchronous ADK services...
2026-01-18 02:24:26,719 | INFO  | MainThread | solace_agent_mesh.agent.adk.services | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing Session Service of type: sql
2026-01-18 02:24:26,772 | INFO  | MainThread | solace_agent_mesh.agent.adk.schema_migration | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Running Alembic migrations for ADK schema compatibility...
2026-01-18 02:24:26,790 | INFO  | MainThread | solace_agent_mesh.agent.adk.schema_migration | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Database schema migration complete
2026-01-18 02:24:26,790 | INFO  | MainThread | solace_agent_mesh.agent.adk.services | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Initializing Artifact Service of type: filesystem
2026-01-18 02:24:26,790 | INFO  | MainThread | solace_agent_mesh.agent.adk.artifacts.filesystem_artifact_service | Initialized FilesystemArtifactService. Base path: C:\tmp\samv2
